"date","message","Number of files","Number of lines","0 - Ruby","1 - YAML","2 - ERB","3 - SASS","4 - JavaScript"
"2015-05-06 15:19:11 +0100","Add a historical change note to the policy papers.","2623","151716","83593","28907","15357","12662","9664"
"2015-05-05 16:20:26 +0100","Retry failed rummager edition export after 5 seconds.  This gives time for the downstream load to lift.","2610","151193","83050","28907","15299","12740","9664"
"2015-05-05 10:16:59 +0100","Merge pull request #2129 from alphagov/publish-policy-papers  Election rake task to publish policy papers.  https://trello.com/c/TnkdXGhp/214-0-5-create-task-to-publish-policy-publications","2610","151181","83038","28907","15299","12740","9664"
"2015-04-27 12:15:58 +0100","DocumentListExportPresenter works with policy flag  This ensures the document export lists either the new policies or the old ones, based on the state of the feature-flag.","2600","150511","82536","28807","15239","12732","9664"
"2015-04-24 10:48:24 +0100","Order policies on orgs by most recent.","2594","150385","82410","28807","15239","12732","9664"
"2015-04-21 15:44:09 +0100","Merge pull request #2103 from alphagov/remove-policies-from-get-involved  Remove policies from /get-involved","2600","150559","82468","28807","15308","12771","9672"
"2015-04-17 17:02:51 +0100","Expose future policies in metadata when flag is set.  Relies on ENABLE_FUTURE_POLICIES as elsewhere.","2597","150550","82365","28807","15380","12793","9672"
"2015-04-10 13:47:27 +0100","Prevent open governments being created when one exists.  This is coincidentally covered by the overlap code, so this commit just adds a test.","2595","150397","82209","28807","15383","12793","9672"
"2015-04-13 10:34:07 +0100","Add assert_not_requested  makes tests more explicit","2587","149795","81812","28633","15382","12763","9672"
"2015-04-08 15:12:09 +0100","Only display person image if present  This commit changes the admin to only display the image for a person if it is present and removes the call for the grey man image.","2571","149317","81365","28631","15366","12757","9672"
"2015-04-07 06:37:34 +0000","Make extractor return unique results  it seems unlikely that we'll need to preserve duplicates in embedded content extracted from govspeak.","2571","149309","81393","28631","15357","12730","9672"
"2015-03-30 15:29:06 +0100","Merge pull request #2064 from alphagov/reindex-editions-migration  Reindex editions to populate history mode fields","2571","149259","81345","28631","15355","12730","9672"
